Measure type,Year,New Conifers,New Broadleaves,Total New,Unit of Measure
Total New,2020,,,13.67,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2015,,7.72,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2004,,9.44,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1993,,9.08,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1982,,0.79,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2014,,10.73,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2003,,9.94,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1992,,6.6,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1981,,1.11,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2013,,8.93,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2002,,10.51,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1991,,6.85,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1980,,1.15,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2012,,9.31,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2001,,13.84,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1990,,5.79,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2011,,7.26,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2000,,11.37,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2021,,6.02,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2010,,4.9,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2020,,5.9,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2020,7.77,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2010,0.54,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2021,7.27,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2000,6.53,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2011,1.84,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2001,4.9,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2012,3.46,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1990,15.52,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2002,3.89,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2013,1.86,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1980,24.23,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1991,13.46,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1981,20.13,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1992,11.56,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2003,3.75,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2014,2.16,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1982,23.76,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1993,10.09,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2004,2.92,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2015,2.58,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1983,21.35,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1994,7.39,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2005,2.1,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,2016,1.93,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Conifers,1984,24.96,,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
