titles,views_title,imdb_rating
Homer's Night Out,50816,7.4
Krusty Gets Busted,62561,8.3
"Bart Gets an ""F""",59575,8.2
Two Cars in Every Garage and Three Eyes on Every Fish,64959,8.1
Dead Putting Society,50691,8
Bart the Daredevil,57605,8.4
Bart Gets Hit by a Car,56486,7.8
Homer vs. Lisa and the 8th Commandment,58277,8
"Oh Brother, Where Art Thou?",47426,8.2
Old Money,44331,7.6
Lisa's Substitute,52770,8.5
Blood Feud,52829,8
Mr. Lisa Goes to Washington,52098,7.7
Bart the Murderer,64342,8.7
"Like Father, Like Clown",45586,7.7
Saturdays of Thunder,55808,7.9
Burns Verkaufen der Kraftwerk,55987,8.2
Radio Bart,58919,8.5
Bart the Lover,53123,8.3
Separate Vocations,61508,8.2
Colonel Homer,46901,7.9
Bart's Friend Falls in Love,48058,7.8
Kamp Krusty,67081,8.4
Itchy & Scratchy: The Movie,55740,8.2
Lisa's First Word,62070,8.5
Selma's Choice,56396,8
The Call of the Simpsons,57793,7.9
"One Fish, Two Fish, Blowfish, Blue Fish",50206,8.8
Marge in Chains,68692,7.7
Homer's Barbershop Quartet,58390,8.4
Homer Goes to College,64802,8.6
Marge on the Lam,53490,8
Boy-Scoutz 'n the Hood,83238,8.7
Homer the Vigilante,74673,8.2
Bart Gets Famous,66267,8.1
Lisa vs. Malibu Stacy,61715,8.2
Bart Gets an Elephant,63427,7.9
Lady Bouvier's Lover,59503,7.5
Bart of Darkness,65126,8.6
Itchy & Scratchy Land,72722,8.5
Lisa on Ice,63564,8.4
Fear of Flying,61569,7.8
And Maggie Makes Three,63051,8.5
Homie the Clown,73123,8.5
Homer vs. Patty and Selma,60599,7.9
Two Dozen and One Greyhounds,62323,8.1
'Round Springfield,56001,8.3
Lemon of Troy,70698,8.6
Radioactive Man,62390,8.3
Bart Sells His Soul,65333,8.7
Treehouse of Horror VI,110342,8.5
Marge Be Not Proud,68970,8.3
Team Homer,72268,8.3
Bart the Fink,71230,7.7
New Kid on the Block,54557,8.2
22 Short Films About Springfield,66536,8.8
Much Apu About Nothing,75618,8
Summer of 4 Ft. 2,65847,8.3
"Burns, Baby Burns",55497,7.7
Lisa's Date with Density,60912,7.8
The Springfield Files,69555,9
The Twisted World of Marge Simpson,71813,7.8
The Itchy & Scratchy & Poochie Show,58581,7.9
Homer's Phobia,63355,8.9
Homer vs. the Eighteenth Amendment,83561,8.7
The Canine Mutiny,54155,7.7
In Marge We Trust,59088,8
The Secret War of Lisa Simpson,59196,7.8
The Principal and the Pauper,48414,7.4
Bart Star,31033,7.7
Lisa the Skeptic,22318,8
"All Singing, All Dancing",15780,5.1
The Joy of Sect,27710,8.2
This Little Wiggy,20739,7.8
The Trouble with Trillions,23426,7.9
Trash of the Titans,26299,8.5
Natural Born Kissers,53823,8.1
The Wizard of Evergreen Terrace,53216,8.2
Treehouse of Horror IX,83169,8
Mayored to the Mob,56762,8.2
Wild Barts Can't Be Broken,57693,7.7
Make Room for Lisa,53449,7.5
Mom and Pop Art,47851,7.6
Monty Can't Buy Me Love,44242,7.2
Thirty Minutes over Tokyo,55947,7.9
Guess Who's Coming to Criticize Dinner?,46141,7.5
E-I-E-I-(Annoyed Grunt),51431,7.6
Eight Misbehavin',40465,7.1
The Mansion Family,43949,7.3
"Alone Again, Natura-diddily",47392,7.9
Pygmoelian,52891,7.3
Kill the Alligator and Run,52176,6.6
"It's a Mad, Mad, Mad, Mad Marge",54146,7.3
Treehouse of Horror XI,77719,7.6
Insane Clown Poppy,40443,7.1
The Computer Wore Menace Shoes,51100,7.7
Pokey Mom,51024,7.3
Day of the Jackanapes,49986,7.2
"Hungry, Hungry Homer",49811,7.4
Simpson Safari,49065,6.9
Children of a Lesser Clod,50070,7.3
Treehouse of Horror XII,77136,7.5
Homer the Moe,44651,7.2
The Blunder Years,45288,7.7
Half-Decent Proposal,42977,7.5
The Lastest Gun in the West,44787,6.5
Blame It on Lisa,50694,7
Gump Roast,46335,5.6
Homer's Triple Bypass,57400,8.7
Bart vs. Lisa vs. the Third Grade,43130,7
The Great Louse Detective,48110,7.3
The Dad Who Knew Too Little,47170,7.3
Pray Anything,46336,6.8
C.E.D'oh,47386,7.3
Three Gays of the Condo,49263,7.2
"Brake My Wife, Please",47288,6.9
Moe Baby Blues,45931,7.7
My Mother the Carjacker,34590,7.3
The Fat and the Furriest,39180,7.2
'Tis the Fifteenth Season,40667,7.2
