,id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
0,10,Homer's Night Out,3/25/90,7G10,1,10,10,30.3,50816.0,7.4
1,12,Krusty Gets Busted,4/29/90,7G12,1,12,12,30.4,62561.0,8.3
2,14,"Bart Gets an ""F""",10/11/90,7F03,2,1,14,33.6,59575.0,8.2
3,17,Two Cars in Every Garage and Three Eyes on Every Fish,11/1/90,7F01,2,4,17,26.1,64959.0,8.1
4,19,Dead Putting Society,11/15/90,7F08,2,6,19,25.4,50691.0,8.0
5,21,Bart the Daredevil,12/6/90,7F06,2,8,21,26.2,57605.0,8.4
6,23,Bart Gets Hit by a Car,1/10/91,7F10,2,10,23,24.8,56486.0,7.8
7,26,Homer vs. Lisa and the 8th Commandment,2/7/91,7F13,2,13,26,26.2,58277.0,8.0
8,28,"Oh Brother, Where Art Thou?",2/21/91,7F16,2,15,28,26.8,47426.0,8.2
9,30,Old Money,3/28/91,7F17,2,17,30,21.2,44331.0,7.6
10,32,Lisa's Substitute,4/25/91,7F19,2,19,32,17.7,52770.0,8.5
11,35,Blood Feud,7/11/91,7F22,2,22,35,17.3,52829.0,8.0
12,37,Mr. Lisa Goes to Washington,9/26/91,8F01,3,2,37,20.2,52098.0,7.7
13,39,Bart the Murderer,10/10/91,8F03,3,4,39,20.8,64342.0,8.7
14,41,"Like Father, Like Clown",10/24/91,8F05,3,6,41,20.2,45586.0,7.7
15,44,Saturdays of Thunder,11/14/91,8F07,3,9,44,24.7,55808.0,7.9
16,46,Burns Verkaufen der Kraftwerk,12/5/91,8F09,3,11,46,21.1,55987.0,8.2
17,48,Radio Bart,1/9/92,8F11,3,13,48,24.2,58919.0,8.5
18,51,Bart the Lover,2/13/92,8F16,3,16,51,20.5,53123.0,8.3
19,53,Separate Vocations,2/27/92,8F15,3,18,53,23.7,61508.0,8.2
20,55,Colonel Homer,3/26/92,8F19,3,20,55,25.5,46901.0,7.9
21,58,Bart's Friend Falls in Love,5/7/92,8F22,3,23,58,19.5,48058.0,7.8
22,60,Kamp Krusty,9/24/92,8F24,4,1,60,21.8,67081.0,8.4
23,65,Itchy & Scratchy: The Movie,11/3/92,9F03,4,6,65,20.1,55740.0,8.2
24,69,Lisa's First Word,12/3/92,9F08,4,10,69,28.6,62070.0,8.5
25,72,Selma's Choice,1/21/93,9F11,4,13,72,24.5,56396.0,8.0
26,7,The Call of the Simpsons,2/18/90,7G09,1,7,7,27.6,57793.0,7.9
27,24,"One Fish, Two Fish, Blowfish, Blue Fish",1/24/91,7F12,2,11,24,24.2,50206.0,8.8
28,80,Marge in Chains,5/6/93,9F20,4,21,80,17.3,68692.0,7.7
29,82,Homer's Barbershop Quartet,9/30/93,9F21,5,1,82,19.9,58390.0,8.4
30,84,Homer Goes to College,10/14/93,1F02,5,3,84,18.1,64802.0,8.6
31,87,Marge on the Lam,11/4/93,1F03,5,6,87,21.7,53490.0,8.0
32,89,Boy-Scoutz 'n the Hood,11/18/93,1F06,5,8,89,20.1,83238.0,8.7
33,92,Homer the Vigilante,1/6/94,1F09,5,11,92,20.1,74673.0,8.2
34,93,Bart Gets Famous,2/3/94,1F11,5,12,93,20.0,66267.0,8.1
35,95,Lisa vs. Malibu Stacy,2/17/94,1F12,5,14,95,20.5,61715.0,8.2
36,98,Bart Gets an Elephant,3/31/94,1F15,5,17,98,17.0,63427.0,7.9
37,102,Lady Bouvier's Lover,5/12/94,1F21,5,21,102,15.1,59503.0,7.5
38,104,Bart of Darkness,9/4/94,1F22,6,1,104,15.1,65126.0,8.6
39,107,Itchy & Scratchy Land,10/2/94,2F01,6,4,107,14.8,72722.0,8.5
40,111,Lisa on Ice,11/13/94,2F05,6,8,111,17.9,63564.0,8.4
41,114,Fear of Flying,12/18/94,2F08,6,11,114,15.6,61569.0,7.8
42,116,And Maggie Makes Three,1/22/95,2F10,6,13,116,17.3,63051.0,8.5
43,118,Homie the Clown,2/12/95,2F12,6,15,118,17.6,73123.0,8.5
44,120,Homer vs. Patty and Selma,2/26/95,2F14,6,17,120,18.9,60599.0,7.9
