id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
10,Homer's Night Out,3/25/90,7G10,1,10,10,30.3,50816,7.4
12,Krusty Gets Busted,4/29/90,7G12,1,12,12,30.4,62561,8.3
14,"Bart Gets an ""F""",10/11/90,7F03,2,1,14,33.6,59575,8.2
17,Two Cars in Every Garage and Three Eyes on Every Fish,11/1/90,7F01,2,4,17,26.1,64959,8.1
19,Dead Putting Society,11/15/90,7F08,2,6,19,25.4,50691,8
21,Bart the Daredevil,12/6/90,7F06,2,8,21,26.2,57605,8.4
23,Bart Gets Hit by a Car,1/10/91,7F10,2,10,23,24.8,56486,7.8
26,Homer vs. Lisa and the 8th Commandment,2/7/91,7F13,2,13,26,26.2,58277,8
28,"Oh Brother, Where Art Thou?",2/21/91,7F16,2,15,28,26.8,47426,8.2
30,Old Money,3/28/91,7F17,2,17,30,21.2,44331,7.6
32,Lisa's Substitute,4/25/91,7F19,2,19,32,17.7,52770,8.5
35,Blood Feud,7/11/91,7F22,2,22,35,17.3,52829,8
37,Mr. Lisa Goes to Washington,9/26/91,8F01,3,2,37,20.2,52098,7.7
39,Bart the Murderer,10/10/91,8F03,3,4,39,20.8,64342,8.7
41,"Like Father, Like Clown",10/24/91,8F05,3,6,41,20.2,45586,7.7
44,Saturdays of Thunder,11/14/91,8F07,3,9,44,24.7,55808,7.9
46,Burns Verkaufen der Kraftwerk,12/5/91,8F09,3,11,46,21.1,55987,8.2
48,Radio Bart,1/9/92,8F11,3,13,48,24.2,58919,8.5
51,Bart the Lover,2/13/92,8F16,3,16,51,20.5,53123,8.3
53,Separate Vocations,2/27/92,8F15,3,18,53,23.7,61508,8.2
55,Colonel Homer,3/26/92,8F19,3,20,55,25.5,46901,7.9
58,Bart's Friend Falls in Love,5/7/92,8F22,3,23,58,19.5,48058,7.8
60,Kamp Krusty,9/24/92,8F24,4,1,60,21.8,67081,8.4
65,Itchy & Scratchy: The Movie,11/3/92,9F03,4,6,65,20.1,55740,8.2
69,Lisa's First Word,12/3/92,9F08,4,10,69,28.6,62070,8.5
72,Selma's Choice,1/21/93,9F11,4,13,72,24.5,56396,8
7,The Call of the Simpsons,2/18/90,7G09,1,7,7,27.6,57793,7.9
24,"One Fish, Two Fish, Blowfish, Blue Fish",1/24/91,7F12,2,11,24,24.2,50206,8.8
80,Marge in Chains,5/6/93,9F20,4,21,80,17.3,68692,7.7
82,Homer's Barbershop Quartet,9/30/93,9F21,5,1,82,19.9,58390,8.4
84,Homer Goes to College,10/14/93,1F02,5,3,84,18.1,64802,8.6
87,Marge on the Lam,11/4/93,1F03,5,6,87,21.7,53490,8
89,Boy-Scoutz 'n the Hood,11/18/93,1F06,5,8,89,20.1,83238,8.7
92,Homer the Vigilante,1/6/94,1F09,5,11,92,20.1,74673,8.2
93,Bart Gets Famous,2/3/94,1F11,5,12,93,20,66267,8.1
95,Lisa vs. Malibu Stacy,2/17/94,1F12,5,14,95,20.5,61715,8.2
98,Bart Gets an Elephant,3/31/94,1F15,5,17,98,17,63427,7.9
